Wall time,Step,Value
1730265674.9214811,0,0.38339048624038696
1730265751.126077,1,0.18962515890598297
1730265830.5344336,2,0.14244352281093597
1730265913.0503967,3,0.11991263926029205
1730265992.3835871,4,0.1025029867887497
1730266073.5296857,5,0.08382514119148254
1730266153.9789176,6,0.07052230834960938
1730266232.670715,7,0.061409398913383484
1730266313.1649706,8,0.050929125398397446
1730266391.8226666,9,0.045289184898138046
1730266470.7799973,10,0.03825865685939789
1730266546.1261904,11,0.035056088119745255
1730266625.2956266,12,0.0306411050260067
1730266704.488137,13,0.027608055621385574
1730266783.673331,14,0.027837472036480904
1730266859.0177734,15,0.02235260419547558
1730266936.8080616,16,0.025291595607995987
1730267011.0457654,17,0.024589944630861282
1730267094.2113988,18,0.019848167896270752
1730267168.7934604,19,0.024129247292876244
