Wall time,Step,Value
1730265674.921716,0,0.9209021925926208
1730265751.1263545,1,0.9405466914176941
1730265830.5346227,2,0.9434223771095276
1730265913.0506558,3,0.9423136711120605
1730265992.3837087,4,0.9400963187217712
1730266073.5299122,5,0.9418286681175232
1730266153.979143,6,0.945258617401123
1730266232.6708825,7,0.9406853318214417
1730266313.1651876,8,0.9408239126205444
1730266391.8228517,9,0.9395073056221008
1730266470.7801523,10,0.9382253885269165
1730266546.1264174,11,0.9269306659698486
1730266625.2958012,12,0.9496587514877319
1730266704.4883177,13,0.9371860027313232
1730266783.6734898,14,0.8732287287712097
1730266859.0179827,15,0.9439420700073242
1730266936.808221,16,0.9363545179367065
1730267011.0461974,17,0.9354537129402161
1730267094.2114785,18,0.939056932926178
1730267168.7936425,19,0.8647056818008423
