Wall time,Step,Value
1730201550,0,0.174999997
1730201587,1,0.721875012
1730201625,2,0.770624995
1730201662,3,0.811249971
1730201700,4,0.856249988
1730201737,5,0.873125017
1730201775,6,0.891250014
1730201812,7,0.911249995
1730201850,8,0.913749993
1730201887,9,0.922500014
1730201924,10,0.930625021
1730201961,11,0.930625021
1730201999,12,0.934374988
1730202036,13,0.953125
1730202073,14,0.957499981
1730202110,15,0.959999979
1730202148,16,0.962499976
1730202185,17,0.961250007
1730202222,18,0.959999979
1730202259,19,0.964375019
1730202296,20,0.961875021
1730202333,21,0.96875
1730202370,22,0.967499971
1730202407,23,0.964375019
1730202444,24,0.96875
1730202481,25,0.969375014
1730202518,26,0.957499981
1730202555,27,0.971875012
1730202593,28,0.970624983
1730202630,29,0.969375014
1730202667,30,0.971249998
1730202704,31,0.970000029
1730202742,32,0.970000029
1730202779,33,0.975000024
1730202817,34,0.968124986
1730202854,35,0.97437501
1730202891,36,0.972500026
1730202929,37,0.970624983
1730202966,38,0.976875007
1730203003,39,0.977500021
1730203041,40,0.971249998
1730203078,41,0.973124981
1730203115,42,0.96875
1730203152,43,0.971249998
1730203189,44,0.973124981
1730203227,45,0.970000029
1730203264,46,0.973124981
1730203301,47,0.977500021
1730203338,48,0.971875012
1730203376,49,0.973124981
1730203413,50,0.975624979
1730203451,51,0.975000024
1730203489,52,0.978124976
1730203526,53,0.97437501
1730203563,54,0.973124981
1730203600,55,0.977500021
1730203638,56,0.976875007
1730203675,57,0.976249993
1730203712,58,0.973124981
1730203749,59,0.97437501
