Wall time,Step,Value
1730264802.052862,0,0.47944098711013794
1730264836.8218884,1,0.03819618374109268
1730264871.4616613,2,0.018858740106225014
1730264906.326816,3,0.015209071338176727
1730264940.9915738,4,0.003767144400626421
1730264975.230092,5,0.0019516354659572244
1730265009.8324142,6,0.0014835818437859416
1730265044.4046707,7,0.0011934974463656545
1730265079.1067238,8,0.000958246469963342
1730265113.827696,9,0.0009854295058175921
1730265148.6400483,10,0.0008515355293639004
1730265183.494185,11,0.0006491824751719832
1730265218.4187558,12,0.0006133686983957887
1730265252.9410088,13,0.0005692358827218413
1730265287.9613261,14,0.0006894950638525188
1730265322.3868487,15,0.0006889454671181738
1730265357.248089,16,0.00046979717444628477
1730265391.9435246,17,0.0004037338076159358
1730265426.4663515,18,0.00037527323001995683
1730265460.9777517,19,0.0007800721796229482
