Wall time,Step,Value
1730264802.0531065,0,0.8787500262260437
1730264836.8220477,1,0.9868749976158142
1730264871.4618247,2,0.9793750047683716
1730264906.3268876,3,0.9850000143051147
1730264940.9917197,4,0.9900000095367432
1730264975.2301607,5,0.9887499809265137
1730265009.8325503,6,0.9887499809265137
1730265044.4048326,7,0.9887499809265137
1730265079.1068878,8,0.9887499809265137
1730265113.8278477,9,0.9887499809265137
1730265148.6401424,10,0.9887499809265137
1730265183.4943426,11,0.9887499809265137
1730265218.4189045,12,0.9893749952316284
1730265252.9411948,13,0.9893749952316284
1730265287.961395,14,0.9887499809265137
1730265322.3870032,15,0.9881250262260437
1730265357.2482495,16,0.9893749952316284
1730265391.9437594,17,0.9900000095367432
1730265426.4665146,18,0.9881250262260437
1730265460.9779277,19,0.9893749952316284
